Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Ireland Writing Retreat Donegal,https://www.irelandwritingretreat.com,353833000000,-8.232854867,55.05149629,Donegal,Gweedore,Ireland,"Learning,Activity Operator,Literary Ireland"
Swords Castle,https://swordscastle.events/,+353(0)1840 0891,-6.220338,53.459928,Dublin,Swords,Republic of Ireland,"Historic Houses and Castle,Castle,Tour"
Kilbolane Castle,https://visitballyhoura.com/explore/kilbolane-castle,3536391300,-8.8468668,52.3377252,Cork,,Ireland,"Historic Houses and Castle,Castle"
Spanish Point,,,-9.432739,52.842867,Clare,Spanish Point,Ireland,Discovery Point
Dunloe Castle,https://killarney.ie/listing/dunloe-castle,353647000000,-9.627419,52.059671,Kerry,Beaufort,Republic of Ireland,"Castle,Historic Houses and Castle"
Garfinny Bridge,https://dingle-peninsula.ie/component/zoo/item/garfinny-bridge.html,,-10.219193,52.140079,Kerry,Dingle,Republic of Ireland,Museums and Attraction
F. W. Sweny & Co. Ltd.,http://sweny.ie/site/,+353(0)858146713,-6.250578476,53.34188602,Dublin,Dublin City,Ireland,"Historic Houses and Castle,Literary Ireland,Food Shops,Shopping"
Annagh Church,,353667000000,-9.742521,52.248165,Kerry,Blennerville,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Riversdale Barge Holidays,http://www.riversdaleholidays.com/,353720000000,-7.7950084,54.0294267,Leitrim,Ballinamore,Ireland,"Cruising,Activity Operator,River,Discovery Point,Boat,Tour"
Dublin Writers Museum,http://www.writersmuseum.com,+353(0)18722077,-6.263985,53.354366,Dublin,,Republic of Ireland,"Craft,Shopping,Learning,Historic Houses and Castle,Museums and Attraction,Literary Ireland,Food Shops,Tour"
Jonathan Swift,,+353(0)16057700,-6.259186343,53.34465008,Dublin,Dublin City Centre,Republic of Ireland,Public Sculpture
Ballylarkin Abbey Freshford - Ballylarkin Church,"http://www.megalithicireland.com/Ballylarkin%20Church,%20Kilkenny.html",,-7.427511,52.722887,,,,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Casino Model Railway Museum,http://www.modelrailwaymuseum.ie ,35361711222,-6.1582704,53.4505763,Dublin,Malahide,Ireland,"Historic Houses and Castle,Museums and Attraction,Tour"
Fawnglass Loop,https://www.irishtrails.ie/trail/Clare-Island---Fawnglass-loop/143/,,-9.988141954,53.79245548,Mayo,Clare Island,Republic of Ireland,"Walking,Island,Offshore Island"
Jenkinstown Wood Loop,http://www.irishtrails.ie/Trail/Jenkinstown-Wood---Jenkinstown-Wood-loop/125/,,-7.284483484,52.73116958,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
James Joyce,http://www.talkingstatuesdublin.ie/statues/james-joyce/,+353(0)16057700,-6.259782198,53.3499184,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Talking Statue,Literary Ireland"
Ballycarbery Castle,https://www.theringofkerry.com/ballycarbery-castle,353647000000,-10.2586267,51.9489036,Kerry,Cahersiveen,Ireland,"Castle,Historic Houses and Castle,Ruins"
Belcarra Eviction Cottage,http://www.museumsofmayo.com/eviction-cottage/eviction-cottage-belcarra.html,353879000000,-9.2190281,53.8129006,Mayo,Castlebar,Ireland,Museums and Attraction
